STATION_CO,WATERBODY,LATD,LONGD,NAME,PUGAP_CODE,HUC8_Name,site_id,reach_name,event_date,link,dlink,c_order,dorder,w_forest_total,w_agriculture,wt_forest_total,wt_agriculture
OH-05,SUGAR CREEK,38.69171,-89.64891,Sugar Creek,kasky3126,Lower,OH-05_20020725,OH-05,2002-07-25,22,23,3,3,0.0829034635224761,0.622697126013265,0.0547610221190305,0.676201067904968
OCC-98,W FK RICHLAND CR S,38.35327,-89.98104,West Fork Richland Creek,kasky4672,Lower,OCC-98_20070710,OCC-98,2007-07-10,15,16,3,3,0.0571625344352618,0.827134986225895,0.180561928153087,0.654273838762787
OPC-01,WOLF CREEK,39.12972,-88.8557,Wolf Creek,kasky1614,Middle,OPC-01_20070723,OPC-01,2007-07-23,21,34,3,4,0.461393034825871,0.163980099502487,0.115837919603489,0.632396768691063
OID-04,E FK SHOAL CREEK,39.07389,-89.36,East Fork Shoal Creek,kasky1789,Shoal,OID-04_20020716,OID-04,2002-07-16,34,36,3,3,0.306407942238267,0.366877256317689,0.08155960276313,0.694583536432254
OIB-01,BEAVER CREEK,38.79895,-89.4263,Beaver Creek,kasky2732,Shoal,OIB-01_20020715,OIB-01,2002-07-15,15,20,3,3,0.212160082093381,0.429451000513083,0.0632374928738154,0.679380855572407
OIBA-01,FLAT BRANCH,38.68773,-89.39968,Flat Branch,kasky3095,Shoal,OIBA-01_20070530,OIBA-01,2007-05-30,9,38,3,4,0.186440677966102,0.39406779661017,0.0662585256400731,0.718546146187794
OQC-01,OPOSSUM CREEK,39.29527,-89.02528,Little Creek,kasky1043,Upper,OQC-01_20070802,OQC-01,2007-08-02,13,14,3,3,0.37040650406504,0.255609756097561,0.149711544911787,0.582989535117729
OZZJ-01,JORDAN CREEK,39.33079,-88.79004,Jordan Creek,kasky911,Upper,OZZJ-01_20020711,OZZJ-01,2002-07-11,8,9,3,3,0.185840707964602,0.307767944936086,0.062695306075458,0.687428045130094
OQA-01,MITCHELL CREEK,39.23549,-88.90346,Mitchell Creek,kasky1248,Upper,OQA-01_20070806,OQA-01,2007-08-06,15,16,3,3,0.114659853082082,0.536889172788247,0.0538691112619356,0.717396357280326
OW-01,LAKE FORK,39.79167,-88.4625,NA,kasky171,Upper,OW-01_20020708,OW-01,2002-07-08,28,29,3,3,0.0871058558558559,0.678265765765766,0.00510450240464582,0.922117233919276
OW-97,LAKE FORK,39.75373,-88.44696,NA,kasky171,Upper,OW-01_20020708,OW-01,2002-07-08,28,29,3,3,0.0871058558558559,0.678265765765766,0.00510450240464582,0.922117233919276
OW-03,LAKE FORK,39.87601,-88.51858,NA,kasky76,Upper,OW-03_20070711,OW-03,2007-07-11,17,18,3,3,0.0114768951978254,0.916641498036846,6.96954913077601e-4,0.940195207980437
O-35,KASKASKIA RIVER,40.01102,-88.34858,Kaskaskia River,kasky46,Upper,O-35_20070710,O-35,2007-07-10,10,11,3,3,0.00391182741017466,0.906507324896826,0.00953200645508338,0.74708983324368
O-43,KASKASKIA RIVER,39.9230556,-88.3652778,Kaskaskia River,kasky46,Upper,O-35_20070710,O-35,2007-07-10,10,11,3,3,0.00391182741017466,0.906507324896826,0.00953200645508338,0.74708983324368
O-94,KASKASKIA RIVER,39.95267,-88.36506,Kaskaskia River,kasky46,Upper,O-35_20070710,O-35,2007-07-10,10,11,3,3,0.00391182741017466,0.906507324896826,0.00953200645508338,0.74708983324368
OZZX-01,TWOMILE SLOUGH,39.91538,-88.33058,Twomile Slough,kasky52,Upper,OZZX-01_20070710,OZZX-01,2007-07-10,5,6,3,3,0.00241600179795482,0.94246544555568,0.0030051549966481,0.883839201091102
